# hex,owner,ladd — generated by scripts/gen-le-aircraft.py, do not edit
a1a62a,VENTURA COUNTY SHERIFFS DEPARTMENT,0
a1a674,VENTURA COUNTY SHERIFFS DEPARTMENT,0
a1a88f,METRO-DADE POLICE DEPT/AVIATION UNIT,0
a1a91a,METRO-DADE POLICE DEPT/AVIATION UNIT,0
a1a95c,STANISLAUS COUNTY SHERIFFS DEPARTMENT,0
a1aa2b,VENTURA COUNTY SHERIFF'S DEPT,0
a1acb5,STATE OF WASHINGTON  WASHINGTON STATE PATROL,0
a1ae80,BENTON COUNTY SHERIFFS OFFICE,0
a1af93,STATE OF ALASKA  DEPARTMENT OF PUBLIC SAFETY A/C,1
a1b0ba,COLLIER COUNTY SHERIFFS OFFICE,0
a1b4bb,MODESTO POLICE DEPARTMENT,0
a1b5fd,CITY OF EL PASO POLICE DEPARTMENT,0
a1bb5e,COMMONWEALTH OF VIRGINIA  DEPARTMENT OF STATE PO,0
a1bcfb,DEPARMENT OF HOMELAND SECURITY,0
a1bed4,POLK COUNTY SHERIFFS OFFICE,0
a1c0aa,SOUTH DAKOTA HIGHWAY PATROL,1
a1c178,OSCEOLA COUNTY SHERIFFS OFFICE,1
a1c246,ALABAMA DEPT OF PUBLIC SAFETY,0
a1c5a4,LAKE COUNTY SHERIFFS OFFICE,0
a1c5c0,LOS ANGELES POLICE DEPARTMENT AIR SUPPORT DIVISI,0
a1c95b,LAKE COUNTY SHERIFFS OFFICE,0
a1cbc9,AUSTIN POLICE DEPT,0
a1cd12,LAKE COUNTY SHERIFFS OFFICE,0
a1cda8,SPOKANE COUNTY SHERIFFS OFFICE,0
a1cdd4,TEXAS DEPT OF PUBLIC SAFETY,0
a1cdf3,VENTURA COUNTY SHERIFFS DEPARTMENT,0
a1d296,PORTLAND POLICE BUREAU,1
a1d75b,OSCEOLA COUNTY SHERIFFS OFFICE,1
a1d7b9,FORT BEND COUNTY SHERIFFS OFFICE,0
a1d898,DEPARTMENT OF HOMELAND SECURITY,0
a1d9c2,STATE OF OREGON  DEPARTMENT OF STATE POLICE,0
a1da3b,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION,0
a1db12,OSCEOLA COUNTY SHERIFFS OFFICE,1
a1dbec,LOS ANGELES POLICE DEPARTMENT,0
a1dc12,CITY OF MESA POLICE DEPT/AVIATION DEPT,0
a1dcb0,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a1e24a,CITY OF OAKLAND  POLICE DEPARTMENT  HELICOPTER U,0
a1e29f,KENTUCKY STATE POLICE,0
a1ecaf,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a1ece3,DEPARTMENT OF CALIFORNIA HIGHWAY PATROL,0
a1ef70,DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS & BO,0
a1ef84,OREGON STATE POLICE,0
a1f0c0,PASADENA POLICE DEPARTMENT,0
a1f17b,NEW YORK STATE POLICE AVIATION UNIT,1
a1f3bd,EAST BATON ROUGE SHERIFF,0
a1f4b5,CITY OF MESA POLICE DEPT/PUBLIC INFORMATION OFFI,0
a1f4dd,BATON ROUGE POLICE DEPARTMENT,0
a1f77f,U S BORDER PATROL,0
a1f894,ANAHEIM POLICE DEPT,0
a1f8fb,TOM GREEN COUNTY SHERIFF'S OFFICE,0
a1f908,DEPARTMENT OF HOMELAND SECURITY,0
a1fc32,HILLSBOROUGH COUNTY SHERIFF,0
a1fca0,IOWA STATE PATROL,0
a1fcc1,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a1fd9e,DEPARTMENT OF HOMELAND SECURITY,0
a20129,TOWN OF WEST SENECA POLICE DEPT,0
a2036f,COLLIER COUNTY SHERIFFS OFFICE,0
a20403,ST CHARLES PARISH SHERIFFS OFFICE,0
a205fb,DEPARTMENT OF HOMELAND SECURITY,0
a208d5,GEORGIA DEPARTMENT OF PUBLIC SAFETY,0
a20981,DEPARTMENT OF HOMELAND SECURITY,0
a2099b,LIVINGSTON PARISH SHERIFF'S OFFICE,1
a20b14,DEPARTMENT OF HOMELAND SECURITY,0
a20dd5,IOWA STATE PATROL,0
a21095,GREENVILLE COUNTY SHERIFFS OFFICE,0
a2144c,GREENVILLE COUNTY SHERIFFS OFFICE,0
a2147b,WASHOE COUNTY SHERIFF DEPT,0
a2153f,DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS & BO,0
a2165c,DEPARTMENT OF HOMELAND SECURITY,0
a2165d,DEPARTMENT OF HOMELAND SECURITY,0
a217dc,FAULKNER COUNTY SHERIFFS DEPARTMENT/,0
a21819,DEPT OF CALIFORNIA HIGHWAY PATROL,0
a21a16,DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS & BO,0
a21aa4,DEPARTMENT OF HOMELAND SECURITY,0
a21b1b,ERIE COUNTY SHERIFFS OFFICE,0
a21bba,GREENVILLE COUNTY SHERIFFS OFFICE,0
a21f4a,FAULKNER COUNTY SHERIFFS DEPARTMENT/,0
a21fc5,LOS ANGLELES POLICE DEPT,0
a2237c,LOS ANGLELES POLICE DEPT,0
a22569,HOUSTON POLICE AIR SUPPORT DIVISION,0
a2256b,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a2266c,U S BORDER PATROL,0
a22733,LOS ANGLELES POLICE DEPT,0
a22904,NEBRASKA STATE PATROL,0
a22a23,U S BORDER PATROL,0
a22b10,MESA POLICE DEPT  AVIATION DEPT,0
a22b45,PASADENA POLICE DEPARTMENT  AIR OPERATIONS SECTI,0
a22e63,YOLO COUNTY/YOLO COUNTY SHERIFFS OFFICE,0
a23148,CITY OF OMAHA  OMAHA POLICE DEPARTMENT,0
